filename,breed_name,folder,xmin,ymin,xmax,ymax,pose,truncated,difficult
n02085620_10074.jpg,chihuahua,n02085620-Chihuahua,25,10,276,498,Unspecified,0,0
n02085620_10131.jpg,chihuahua,n02085620-Chihuahua,49,9,393,493,Unspecified,0,0
n02085620_10621.jpg,chihuahua,n02085620-Chihuahua,142,43,335,250,Unspecified,0,0
n02085620_1073.jpg,chihuahua,n02085620-Chihuahua,0,27,312,498,Unspecified,0,0
n02085620_10976.jpg,chihuahua,n02085620-Chihuahua,90,104,242,452,Unspecified,0,0
n02085620_11140.jpg,chihuahua,n02085620-Chihuahua,17,38,451,253,Unspecified,0,0
n02085620_11238.jpg,chihuahua,n02085620-Chihuahua,39,191,145,383,Unspecified,0,0
n02085620_11258.jpg,chihuahua,n02085620-Chihuahua,76,30,363,375,Unspecified,0,0
n02085620_11337.jpg,chihuahua,n02085620-Chihuahua,59,37,229,179,Unspecified,0,0
n02085620_11477.jpg,chihuahua,n02085620-Chihuahua,317,95,558,459,Unspecified,0,0
n02085620_1152.jpg,chihuahua,n02085620-Chihuahua,3,81,156,225,Unspecified,0,0
n02085620_1152.jpg,chihuahua,n02085620-Chihuahua,147,65,323,324,Unspecified,0,0
n02085620_1152.jpg,chihuahua,n02085620-Chihuahua,391,111,437,167,Unspecified,0,0
n02085620_11696.jpg,chihuahua,n02085620-Chihuahua,211,0,696,516,Unspecified,0,0
n02085620_11818.jpg,chihuahua,n02085620-Chihuahua,121,90,302,343,Unspecified,0,0
n02085620_11948.jpg,chihuahua,n02085620-Chihuahua,0,16,461,436,Unspecified,0,0
n02085620_1205.jpg,chihuahua,n02085620-Chihuahua,146,0,350,239,Unspecified,0,0
n02085620_12101.jpg,chihuahua,n02085620-Chihuahua,5,4,350,252,Unspecified,0,0
n02085620_12334.jpg,chihuahua,n02085620-Chihuahua,159,186,250,330,Unspecified,0,0
n02085620_1235.jpg,chihuahua,n02085620-Chihuahua,194,111,275,299,Unspecified,0,0
n02085620_1271.jpg,chihuahua,n02085620-Chihuahua,19,3,324,350,Unspecified,0,0
n02085620_12718.jpg,chihuahua,n02085620-Chihuahua,26,42,304,487,Unspecified,0,0
n02085620_1298.jpg,chihuahua,n02085620-Chihuahua,151,94,438,230,Unspecified,0,0
n02085620_13151.jpg,chihuahua,n02085620-Chihuahua,176,29,379,333,Unspecified,0,0
n02085620_1321.jpg,chihuahua,n02085620-Chihuahua,111,42,248,314,Unspecified,0,0
n02085620_13383.jpg,chihuahua,n02085620-Chihuahua,156,242,334,498,Unspecified,0,0
n02085620_1346.jpg,chihuahua,n02085620-Chihuahua,1,8,432,316,Unspecified,0,0
n02085620_13964.jpg,chihuahua,n02085620-Chihuahua,96,133,373,495,Unspecified,0,0
n02085620_14252.jpg,chihuahua,n02085620-Chihuahua,166,110,346,248,Unspecified,0,0
n02085620_14413.jpg,chihuahua,n02085620-Chihuahua,142,123,546,850,Unspecified,0,0
n02085620_14516.jpg,chihuahua,n02085620-Chihuahua,51,2,487,478,Unspecified,0,0
n02085620_1455.jpg,chihuahua,n02085620-Chihuahua,60,153,331,498,Unspecified,0,0
n02085620_1492.jpg,chihuahua,n02085620-Chihuahua,58,143,190,332,Unspecified,0,0
n02085620_1502.jpg,chihuahua,n02085620-Chihuahua,51,13,418,331,Unspecified,0,0
n02085620_1558.jpg,chihuahua,n02085620-Chihuahua,0,6,327,493,Unspecified,0,0
n02085620_1569.jpg,chihuahua,n02085620-Chihuahua,24,10,277,273,Unspecified,0,0
n02085620_1617.jpg,chihuahua,n02085620-Chihuahua,2,6,356,237,Unspecified,0,0
n02085620_1620.jpg,chihuahua,n02085620-Chihuahua,25,0,465,374,Unspecified,0,0
n02085620_1765.jpg,chihuahua,n02085620-Chihuahua,55,85,327,437,Unspecified,0,0
n02085620_1816.jpg,chihuahua,n02085620-Chihuahua,0,14,225,325,Unspecified,0,0
n02085620_1862.jpg,chihuahua,n02085620-Chihuahua,152,107,228,247,Unspecified,0,0
n02085620_1916.jpg,chihuahua,n02085620-Chihuahua,8,7,456,397,Unspecified,0,0
n02085620_199.jpg,chihuahua,n02085620-Chihuahua,65,50,249,404,Unspecified,0,0
n02085620_2053.jpg,chihuahua,n02085620-Chihuahua,176,73,441,366,Unspecified,0,0
n02085620_2188.jpg,chihuahua,n02085620-Chihuahua,46,98,327,498,Unspecified,0,0
n02085620_2204.jpg,chihuahua,n02085620-Chihuahua,267,76,350,223,Unspecified,0,0
n02085620_2204.jpg,chihuahua,n02085620-Chihuahua,189,107,263,212,Unspecified,0,0
n02085620_2208.jpg,chihuahua,n02085620-Chihuahua,178,144,231,249,Unspecified,0,0
n02085620_242.jpg,chihuahua,n02085620-Chihuahua,113,45,368,486,Unspecified,0,0
n02085620_2479.jpg,chihuahua,n02085620-Chihuahua,40,16,260,239,Unspecified,0,0
n02085620_2507.jpg,chihuahua,n02085620-Chihuahua,79,35,324,322,Unspecified,0,0
n02085620_2517.jpg,chihuahua,n02085620-Chihuahua,125,26,372,314,Unspecified,0,0
n02085620_2590.jpg,chihuahua,n02085620-Chihuahua,201,88,417,239,Unspecified,0,0
n02085620_2614.jpg,chihuahua,n02085620-Chihuahua,123,2,305,374,Unspecified,0,0
n02085620_2650.jpg,chihuahua,n02085620-Chihuahua,108,87,405,303,Unspecified,0,0
n02085620_2693.jpg,chihuahua,n02085620-Chihuahua,188,140,325,307,Unspecified,0,0
n02085620_2706.jpg,chihuahua,n02085620-Chihuahua,105,39,229,217,Unspecified,0,0
n02085620_275.jpg,chihuahua,n02085620-Chihuahua,179,53,326,191,Unspecified,0,0
n02085620_2793.jpg,chihuahua,n02085620-Chihuahua,23,0,351,287,Unspecified,0,0
n02085620_2815.jpg,chihuahua,n02085620-Chihuahua,60,6,495,597,Unspecified,0,0
n02085620_2887.jpg,chihuahua,n02085620-Chihuahua,16,23,289,355,Unspecified,0,0
n02085620_2903.jpg,chihuahua,n02085620-Chihuahua,210,57,468,332,Unspecified,0,0
n02085620_2921.jpg,chihuahua,n02085620-Chihuahua,30,15,202,224,Unspecified,0,0
n02085620_2937.jpg,chihuahua,n02085620-Chihuahua,121,28,256,192,Unspecified,0,0
n02085620_2973.jpg,chihuahua,n02085620-Chihuahua,71,78,320,450,Unspecified,0,0
n02085620_2981.jpg,chihuahua,n02085620-Chihuahua,399,314,562,525,Unspecified,0,0
n02085620_3006.jpg,chihuahua,n02085620-Chihuahua,86,42,356,492,Unspecified,0,0
n02085620_3033.jpg,chihuahua,n02085620-Chihuahua,164,137,456,335,Unspecified,0,0
n02085620_3045.jpg,chihuahua,n02085620-Chihuahua,101,106,318,343,Unspecified,0,0
n02085620_3093.jpg,chihuahua,n02085620-Chihuahua,155,183,320,427,Unspecified,0,0
n02085620_3110.jpg,chihuahua,n02085620-Chihuahua,98,32,285,258,Unspecified,0,0
n02085620_3208.jpg,chihuahua,n02085620-Chihuahua,100,21,451,374,Unspecified,0,0
n02085620_326.jpg,chihuahua,n02085620-Chihuahua,0,66,264,470,Unspecified,0,0
n02085620_3402.jpg,chihuahua,n02085620-Chihuahua,155,117,466,297,Unspecified,0,0
n02085620_3407.jpg,chihuahua,n02085620-Chihuahua,0,14,478,304,Unspecified,0,0
n02085620_3409.jpg,chihuahua,n02085620-Chihuahua,2,1,389,331,Unspecified,0,0
n02085620_3423.jpg,chihuahua,n02085620-Chihuahua,27,27,174,196,Unspecified,0,0
n02085620_3485.jpg,chihuahua,n02085620-Chihuahua,25,9,282,315,Unspecified,0,0
n02085620_3488.jpg,chihuahua,n02085620-Chihuahua,78,67,424,326,Unspecified,0,0
n02085620_3593.jpg,chihuahua,n02085620-Chihuahua,2,7,199,227,Unspecified,0,0
n02085620_3651.jpg,chihuahua,n02085620-Chihuahua,152,216,275,370,Unspecified,0,0
n02085620_3677.jpg,chihuahua,n02085620-Chihuahua,67,24,499,308,Unspecified,0,0
n02085620_368.jpg,chihuahua,n02085620-Chihuahua,155,24,418,316,Unspecified,0,0
